judul;tanggal;penulis;isi_;url
Respons Santai Airlangga Hartarto dan Optimisme Puan Maharani soal Megawati Turun Gunung Kampanye Terbuka;Senin, 15 Januari 2024;Tempo.co;TEMPO.CO, Jakarta - Ketua Umum Partai Golkar Airlangga Hartarto menanggapi santai rencana Ketua Umum PDI Perjuangan Megawati Soekarnoputri yang bakal turun gunung dalam kampanye akbar pada 21 Januari 2024 sampai dengan 10 Februari 2024.;https://pemilu.tempo.co/read/1821438/respons-santai-airlangga-hartarto-dan-optimisme-puan-maharani-soal-megawati-turun-gunung-kampanye-terbuka
Jusuf Kalla Akhirnya Dukung Paslon AMIN di Pilpres 2024, Sebab...;Senin, 15 Januari 2024;Dwi Arjanto;TEMPO.CO, Jakarta - Mantan Wakil Presiden RI ke-10 dan ke-12 Jusuf Kalla (JK) telah menegaskan sikap politiknya untuk mendukung pasangan calon presiden dan wakil presiden Anies Baswedan dan Muhaimin Iskandar atau Amin di Pilpres 2024.;https://pemilu.tempo.co/read/1821363/jusuf-kalla-akhirnya-dukung-paslon-amin-di-pilpres-2024-sebab
Para Politikus PDIP Ini Bicara Peluang Ganjar-Mahfud Melebur dengan Anies-Muhaimin;Senin, 15 Januari 2024;Yuni Rohmawati;TEMPO.CO, Jakarta - Isu peluang pasangan calon presiden (capres) dan calon wakil presiden (cawapres) Ganjar-Mahfud dan Anies-Muhaimin melebur di putaran kedua pemilihan presiden (Pilpres) 2024 terus bergulir. Para politikus dari Partai Demokrasi Indonesia Perjuangan atau PDIP ini buka suara.;https://pemilu.tempo.co/read/1821362/para-politikus-pdip-ini-bicara-peluang-ganjar-mahfud-melebur-dengan-anies-muhaimin
PSI Keluhkan Sikap Bawaslu yang Dinilai Hanya Tajam kepada Gibran;Senin, 15 Januari 2024;Pribadi Wicaksono (Kontributor);TEMPO.CO, Jakarta - Partai Solidaritas Indonesia (PSI) mengeluhkan sikap Badan Pengawas Pemilihan Umum atau Bawaslu yang dinilai sangat tajam hanya kepada calon wakil presiden (cawapres) nomor urut 2 Gibran Rakabuming Raka.;https://pemilu.tempo.co/read/1821329/psi-keluhkan-sikap-bawaslu-yang-dinilai-hanya-tajam-kepada-gibran
Pilpres 2024 Satu atau Dua Putaran? Ini Aturan Pilpres 2 Putaran;Selasa, 16 Januari 2024;Eiben Heizar;TEMPO.CO, Jakarta - Salah satu opsi yang mungkin terjadi dalam Pemilihan Presiden disingkat Pilpres 2024, sebulan lagi di Indonesia, adalah terjadinya pemilu dua putaran.;https://pemilu.tempo.co/read/1822122/pilpres-2024-satu-atau-dua-putaran-ini-aturan-pilpres-2-putaran
Polisi Air Wonosalam dan River Warrior Surati Capres 2024: Lindungi Sungai Indonesia;Selasa, 16 Januari 2024;Putri Safira Pitaloka;TEMPO.CO, Jakarta - Kegiatan lingkungan semakin menjadi fokus utama bagi kalangan pelajar, terutama di Wonosalam, Jombang, Jawa Timur. Sebuah inisiatif yang patut dicontohkan datang dari 20 anggota Polisi Air Wonosalam bersama River Warrior pada Ahad, 14 Januari 2024.;https://pemilu.tempo.co/read/1822090/polisi-air-wonosalam-dan-river-warrior-surati-capres-2024-lindungi-sungai-indonesia
Cara Pindah Lokasi Memilih di Pemilu 2024 dan Persyaratannya;Selasa, 16 Januari 2024;Tempo.co;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) RI memfasilitasi masyarakat yang memiliki hak suara untuk melakukan pindah lokasi memilih saat pemungutan suara di Pemilihan Umum atau Pemilu 2024.;https://pemilu.tempo.co/read/1821941/cara-pindah-lokasi-memilih-di-pemilu-2024-dan-persyaratannya
Komentar Kubu Muhaimin, Gibran, dan Mahfud Md Jelang Debat Cawapres;Selasa, 16 Januari 2024;Adil Al Hasan;TEMPO.CO, Jakarta - Calon wakil presiden (cawapres) Muhaimin Iskandar, Gibran Rakabuming Raka, dan Mahfud Md bakal mengikuti debat keempat Pilpres 2024 yang diselenggarakan oleh Komisi Pemilihan Umum (KPU) pada Ahad, 21 Januari 2024.;https://pemilu.tempo.co/read/1821837/komentar-kubu-muhaimin-gibran-dan-mahfud-md-jelang-debat-cawapres
Fakta Terbaru Dua Pengancam Tembak Capres Anies Baswedan;Selasa, 16 Januari 2024;Ade Ridwan Yandwiputra;TEMPO.CO, Balikpapan - Pelaku pengancaman penembakan terhadap calon presiden (capres) nomor urut satu Anies Baswedan menyerahkan diri ke Polda Kalimantan Timur, Sabtu, 13 Januari 2024.;https://pemilu.tempo.co/read/1821815/fakta-terbaru-dua-pengancam-tembak-capres-anies-baswedan
Mengenal Apa Itu Daerah Pemilihan pada Pemilu 2024;Rabu, 17 Januari 2024;Eiben Heizar;TEMPO.CO, Jakarta - Istilah Daerah Pemilihan atau Dapil merupakan istilah yang umum dalam Pemilihan Umum di Indonesia. Pengaturan terkait distribusi dan jumlah Dapil dalam Pemilu 2024 ditetapkan oleh Komisi Pemilihan Umum melalui regulasi-regulasi yang telah dikeluarkan.;https://pemilu.tempo.co/read/1822536/mengenal-apa-itu-daerah-pemilihan-pada-pemilu-2024
Serba-serbi Pemilu 2024, Begini Alur Penghitungan Surat Suara dalam Pilpres;Rabu, 17 Januari 2024;Eiben Heizar;TEMPO.CO, Jakarta - Salah satu tahapan yang sangat dinantikan dalam Pemilihan Presiden disingkat Pilpres adalah perhitungan suara. Proses penghitungan surat suara dilakukan setelah pemilih menggunakan hak suaranya untuk menentukan pasangan calon presiden dan wakil presiden yang akan menjadi pemenang.;https://pemilu.tempo.co/read/1822389/serba-serbi-pemilu-2024-begini-alur-penghitungan-surat-suara-dalam-pilpres
Anies Baswedan Akan Kampanye di Batam Jumat Ini,  Ziarah ke Makam Nong Isa hingga Blusukan di Pasar;Rabu, 17 Januari 2024;Yogi Eka Sahputra;TEMPO.CO, Batam - Calon Presiden Anies Baswedan akan menggelar kampanye di Kota Batam, Provinsi Kepulauan Riau, pada Jumat, 19 Januari 2023. Rencana kunjungan Anies ke sana sempat dibatalkan dua kali karena alasan teknis.;https://pemilu.tempo.co/read/1822373/anies-baswedan-akan-kampanye-di-batam-jumat-iniziarah-ke-makam-nong-isa-hingga-blusukan-di-pasar
Malam Ini KPK Gelar Acara Adu Gagasan Capres-Cawapres, Ada Sesi Debat?;Rabu, 17 Januari 2024;Sultan Abdurrahman;TEMPO.CO, Jakarta - Komisi Pemberantasan Korupsi atau KPK menggelar acara adu gagasan antikorupsi bagi pasangan calon presiden (capres) dan calon wakil presiden (cawapres) pada malam ini, Rabu, 17 Januari 2024 pukul 19.00-21.30 WIB.;https://pemilu.tempo.co/read/1822371/malam-ini-kpk-gelar-acara-adu-gagasan-capres-cawapres-ada-sesi-debat
Ini Rancangan Jadwal Pilpres 2024 Jika Berlangsung 2 Putaran;Rabu, 17 Januari 2024;Eiben Heizar;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) telah menyiapkan rancangan jadwal untuk putaran kedua Pemilihan Umum Presiden dan Wakil Presiden alias Pilpres 2024.;https://pemilu.tempo.co/read/1822341/ini-rancangan-jadwal-pilpres-2024-jika-berlangsung-2-putaran
Kasak-kusuk Menang Satu Putaran Pilpres 2024: Kilas Balik Pemilihan Presiden 2004 Dua Putaran;Rabu, 17 Januari 2024;Eiben Heizar;TEMPO.CO, Jakarta - Salah satu hari bersejarah bagi demokrasi di Indonesia adalah pada 20 September 2004,yaitu ketika berlangsungnya putaran kedua Pemilihan Presiden 2004. Pasangan Calon Presiden (Capres) dan Calon Wakil Presiden (Cawapres) yang berpartisipasi adalah Megawati Soekarnoputri - Hasyim Muzadi, dan pasangan Capres dan Cawapres Susilo Bambang Yudhoyono (SBY) - Muhammad Jusuf Kalla.;https://pemilu.tempo.co/read/1822332/kasak-kusuk-menang-satu-putaran-pilpres-2024-kilas-balik-pemilihan-presiden-2004-dua-putaran
Jelang Debat Cawapres, JK dan Anies Yakin Cak Imin Sudah Siap;Rabu, 17 Januari 2024;Tika Ayu;TEMPO.CO, Makassar - Wakil Presiden RI ke-10 dan ke-12 Jusuf Kalla dan calon presiden (capres) nomor urut 1 Anies Baswedan meyakini calon wakil presiden (cawapres) Muhaimin Iskandar alias Cak Imin sudah siap menghadapi debat cawapres kedua yang digelar Komisi Pemilihan Umum (KPU) RI pada 21 Januari 2024.;https://pemilu.tempo.co/read/1822320/jelang-debat-cawapres-jk-dan-anies-yakin-cak-imin-sudah-siap
Cara Cek DPT Pemilu 2024 secara Online Lewat HP, Bisa Pakai NIK;Rabu, 17 Januari 2024;Tempo.co;TEMPO.CO, Jakarta - Jelang pelaksanaan Pemilihan Umum (Pemilu) tahun 2024 yang akan diselenggarakan pada 14 Februari mendatang, masyarakat perlu mengecek status daftar pemilih tetap (DPT) mereka.;https://pemilu.tempo.co/read/1822314/cara-cek-dpt-pemilu-2024-secara-online-lewat-hp-bisa-pakai-nik
Maruarar Sirait Keluar dari PDIP, TKN Prabowo-Gibran Buka Pintu;Rabu, 17 Januari 2024;Antara;TEMPO.CO, Jakarta - Politikus Maruarar Sirait menyatakan mundur dari Partai Demokrasi Indonesia Perjuangan atau PDIP pada Senin, 15 Januari 2024. Ara, begitu Maruarar akrab disapa, beralasan mundurnya dari partai banteng itu karena memilih mengikuti langkah Presiden Joko Widodo atau Jokowi.;https://pemilu.tempo.co/read/1822257/maruarar-sirait-keluar-dari-pdip-tkn-prabowo-gibran-buka-pintu
Inilah Besaran Dana Kampanye Partai Politik Peserta Pemilu 2024 Terbaru;Rabu, 17 Januari 2024;Savina Rizky Hamida;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) merilis Laporan Awal Dana Kampanye (LADK) terbaru pada Minggu lalu, 14 Januari 2024. Hasilnya, Partai Demokrasi Indonesia Perjuangan (PDIP) menempati urutan pertama.;https://pemilu.tempo.co/read/1822245/inilah-besaran-dana-kampanye-partai-politik-peserta-pemilu-2024-terbaru
IG Mahfud Md Diretas Telah Pulih, Ganjar Pranowo Gembira;Rabu, 17 Januari 2024;Tempo.co;TEMPO.CO, Jakarta - Calon presiden nomor urut 2 Ganjar Pranowo mengumumkan akun Instagram Menkopolhukam yang juga calon wakil presiden Mahfud Md @mohmahfudmd yang diretas sejak Selasa siang,  berhasil dipulihkan.;https://pemilu.tempo.co/read/1822212/ig-mahfud-md-diretas-telah-pulih-ganjar-pranowo-gembira
Timnas Anies-Muhaimin Siapkan 8 Program untuk Kemerdekaan Pers;Kamis, 18 Januari 2024;Antara;TEMPO.CO, Jakarta - Tim Nasional Pemenangan Anies-Muhaimin (Timnas Amin) menyiapkan delapan program untuk kemerdekaan pers dan tumbuhnya ekosistem media di Indonesia. Program ini bertujuan menjadikan pers dan media sebagai tulang punggung demokrasi.;https://pemilu.tempo.co/read/1822880/timnas-anies-muhaimin-siapkan-8-program-untuk-kemerdekaan-pers
Ridwan Kamil Dilaporkan PDIP Jawa Barat ke Bawaslu, Ada Apa?;Kamis, 18 Januari 2024;Ikhsan Reliubun;TEMPO.CO, Bandung - Ketua Tim Kampanye Daerah (TKD) Prabowo-Gibran, Ridwan Kamil, dilaporkan pengurus Partai Demokrasi Indonesia Perjuangan (PDIP) Jawa Barat ke Badan Pengawas Pemilihan Umum (Bawaslu).;https://pemilu.tempo.co/read/1822865/ridwan-kamil-dilaporkan-pdip-jawa-barat-ke-bawaslu-ada-apa
Janji Capres di KPK, Anies Sebut Pemberantasan Korupsi Dimulai dari Presiden;Kamis, 18 Januari 2024;Tempo.co;TEMPO.CO, Jakarta -  Calon presiden nomor urut 1 Anies  Baswedan mengatakan pemberantasan korupsi dapat dimulai dari sikap dan keteladanan di tingkat tertinggi, yakni presiden. Menurut dia ketika pimpinan tertinggi menegakkan prinsip integritas, maka dia akan menular ke bawah.;https://pemilu.tempo.co/read/1822804/janji-capres-di-kpk-anies-sebut-pemberantasan-korupsi-dimulai-dari-presiden
Ciri-Ciri Black Campaign, Strategi Politik Tidak Etis dalam Kampanye Hitam;Kamis, 18 Januari 2024;Sharisya Kusuma Rahmanda;TEMPO.CO, Jakarta - Dalam arena politik, praktik kampanye sering kali menjadi sorotan utama. Salah satu bentuk kampanye yang kontroversial dan tidak etis adalah yang dikenal sebagai black campaign atau kampanye hitam.;https://pemilu.tempo.co/read/1822728/ciri-ciri-black-campaign-strategi-politik-tidak-etis-dalam-kampanye-hitam
Cara Mencoblos di TPS saat Pemilu 2024 dan Persyaratannya;Kamis, 18 Januari 2024;Tempo.co;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) RI telah merilis tata cara mencoblos dalam Pemilihan Umum (Pemilu) yang akan dilaksanakan pada Rabu, 14 Februari 2024. Informasi ini harus diketahui seluruh rakyat Indonesia yang memiliki hak suara sesuai dengan asas Langsung, Umum, Beabas, Rahasia, Jujur, dan Adil (Luber Jurdil).;https://pemilu.tempo.co/read/1822749/cara-mencoblos-di-tps-saat-pemilu-2024-dan-persyaratannya
Mengenal Kampanye Negatif, Samakah dengan Black Campaign?;Kamis, 18 Januari 2024;Sharisya Kusuma Rahmanda;TEMPO.CO, Jakarta - Kampanye pemilihan umum presiden atau Pilpres 2024 telah dimulai. Para juru kampanye, anggota tim sukses, serta pendukung para calon presiden aktif menghidupkan suasana kampanye melalui penyampaian program dan janji-janji dari kandidat unggulan mereka masing-masing.;https://pemilu.tempo.co/read/1822709/mengenal-kampanye-negatif-samakah-dengan-black-campaign
Cara Pelaporan Pelanggaran Pemilu Melalui Aplikasi Gowaslu;Jumat, 19 Januari 2024;Michelle Gabriela Momole;TEMPO.CO, Jakarta -- Masyarakat yang memiliki hak pilih atau peserta pemilu dapat melaporkan dugaan pelanggaran pemilu kepada Bawaslu, Bawaslu Provinsi, Bawaslu Kabupaten/Kota, Panwaslu Kecamatan, Panwaslu Kelurahan/Desa, Panwaslu Luar Negeri, dan/atau Pengawas TPS.;https://pemilu.tempo.co/read/1823428/cara-pelaporan-pelanggaran-pemilu-melalui-aplikasi-gowaslu
Sederet Dugaan Pelanggaran Kampanye Pemilu 2024 Kubu Prabowo-Gibran;Jumat, 19 Januari 2024;Michelle Gabriela Momole;TEMPO.CO, Jakarta - Prabowo Subianto, calon presiden nomor urut 02, diduga membagikan sejumlah uang saat kampanye di Kampung Sawah RT 1 RW 11, pada Sabtu, 30 Desember 2023 lalu. Namun, hingga Kamis, 11 Januari 2024, Bawaslu Jakarta Utara (Jakut) mengaku belum menerima laporan tentang pelanggaran kampanye berupa bagi-bagi uang oleh Prabowo itu.;https://pemilu.tempo.co/read/1823364/sederet-dugaan-pelanggaran-kampanye-pemilu-2024-kubu-prabowo-gibran
PBNU soal Penonaktifan Khofifah sebagai Ketum Muslimat NU setelah Gabung Prabowo-Gibran;Jumat, 19 Januari 2024;Tempo.co;TEMPO.CO, Jakarta - Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Yahya Cholil Staquf mengatakan Khofifah Indar Parawansa harus non-aktif dari Ketua Umum Muslimat NU jika secara resmi telah terdaftar dalam Tim Kampanye Nasional (TKN) Prabowo-Gibran.;https://pemilu.tempo.co/read/1823223/pbnu-soal-penonaktifan-khofifah-sebagai-ketum-muslimat-nu-setelah-gabung-prabowo-gibran
Antisipasi Kubu Gibran Hadapi 'Serangan' Cak Imin-Mahfud Md di Debat Cawapres Kedua;Jumat, 19 Januari 2024;Han Revanda Putra;TEMPO.CO, Jakarta - Tim Kampanye Nasional atau TKN Prabowo-Gibran telah mengantisipasi jika terjadi 'serangan' terhadap calon wakil presiden (cawapres) Gibran Rakabuming Raka dari cawapres Muhaimin Iskandar alias Cak Imin dan cawapres Mahfud Md dalam debat cawapres pada Ahad, 21 Januari 2024.;https://pemilu.tempo.co/read/1823217/antisipasi-kubu-gibran-hadapi-serangan-cak-imin-mahfud-md-di-debat-cawapres-kedua
Cak Imin, Gibran, dan Mahfud Md Disebut Bakal Singgung Ini di Debat Cawapres Kedua;Jumat, 19 Januari 2024;Riri Rahayu;TEMPO.CO, Jakarta - Debat cawapres (calon wakil presiden) yang diselenggarakan oleh Komisi Pemilihan Umum (KPU) pada Ahad, 21 Januari 2024, bakal mempertemukan Muhaimin Iskandar (Cak Imin), Gibran Rakabuming Raka, dan Mahfud Md.;https://pemilu.tempo.co/read/1823199/cak-imin-gibran-dan-mahfud-md-disebut-bakal-singgung-ini-di-debat-cawapres-kedua
KPU Solo Temukan 26.177 Surat Suara Pemilu 2024 Rusak: Kertas Sobek hingga Terkena Luberan Tinta;Jumat, 19 Januari 2024;Septia Ryanthie;TEMPO.CO, Solo - Komisi Pemilihan Umum (KPU) Kota Solo mencatat total ada sebanyak 26.177 surat suara untuk Pemilu 2024, rusak atau tidak dapat digunakan. Jumlah itu baik surat suara untuk Pemilihan Presiden (Pilpres), DPR RI, DPD, DPRD Provinsi Jawa Tengah, maupun DPRD Kota Solo.;https://pemilu.tempo.co/read/1823194/kpu-solo-temukan-26-177-surat-suara-pemilu-2024-rusak-kertas-sobek-hingga-terkena-luberan-tinta
Bawaslu Meminta Penertiban APK Parpol Jadi Perhatian Serius karena Timbulkan Kecelakaan;Jumat, 19 Januari 2024;Tempo.co;TEMPO.CO, Jakarta -  Ketua Badan Pengawas Pemilu (Bawaslu ) Republik Indonesia Rahmat Bagja meminta Komisi Pemilihan Umum agar mengingatkan seluruh peserta Pemilu 2024 soal pemasangan alat peraga kampanye (APK) yang membahayakan hingga menyebabkan kecelakaan dan mengakibatkan jatuhnya korban.;https://pemilu.tempo.co/read/1823147/bawaslu-meminta-penertiban-apk-parpol-jadi-perhatian-serius-karena-timbulkan-kecelakaan
Rangkaian Tempat Debat Capres Cawapres 2024: Gedung KPU ke JCC, Istora Senayan hingga Jakarta Covention Center Lagi;Jumat, 19 Januari 2024;Michelle Gabriela Momole;TEMPO.CO, Jakarta - Serangkaian debat capres cawapres menuju Pilpres 2024, Komisi Pemilihan Umum (KPU) selalu melakukan evaluasi. Tidak hanya dari segi teknis pelaksanaan, tetapi juga tempat pelaksanaan.;https://pemilu.tempo.co/read/1823087/rangkaian-tempat-debat-capres-cawapres-2024-gedung-kpu-ke-jcc-istora-senayan-hingga-jakarta-covention-center-lagi
Seri Debat Capres Cawapres Keempat di JCC Senayan Lagi, Berikut Profilnya;Jumat, 19 Januari 2024;Michelle Gabriela Momole;TEMPO.CO, Jakarta - Seri debat capres cawapres keempat atau debat cawapres kedua Pemilu 2024 yang diselenggarakan Komisi Pemilihan Umum (KPU) menuju Pilpres 2024. Debat selanjutnya akan dilaksanakan pada 21 Januari 2024.;https://pemilu.tempo.co/read/1823082/seri-debat-capres-cawapres-keempat-di-jcc-senayan-lagi-berikut-profilnya
Cak Imin Bakal Diapit Gibran-Mahfud Md Saat Debat Cawapres Besok;Sabtu, 20 Januari 2024;Bagus Pribadi;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) bakal menempatkan Muhaimin Iskandar alias Cak Imin di posisi tengah, antara Gibran Rakabuming Raka dan Mahfud Md, saat debat keempat pemilihan presiden (Pilpres) 2024 besok di JCC Senayan, Jakarta, Ahad, 21 Januari 2024.;https://pemilu.tempo.co/read/1823728/cak-imin-bakal-diapit-gibran-mahfud-md-saat-debat-cawapres-besok
8 Besar Elektabilitas Parpol versi Survei Terbaru Poltracking;Sabtu, 20 Januari 2024;Adil Al Hasan;TEMPO.CO, Jakarta - Poltracking Indonesia mengeluarkan hasil survei terbaru terkait elektabilitas partai politik (parpol). Pada simulasi surat suara parpol, Partai Demokrasi Indonesia Perjuangan (PDIP) disebut masih menjadi pilihan utama publik dengan angka elektabilitas tertinggi, yakni 20,1 persen.;https://pemilu.tempo.co/read/1823689/8-besar-elektabilitas-parpol-versi-survei-terbaru-poltracking
Polemik Semerawut Spanduk dan Baliho Kampanye Pemilu 2024, Masyarakat Terganggu Bisa Lapor di Nomor Ini;Sabtu, 20 Januari 2024;Myesha Fatina Rachman;TEMPO.CO, Jakarta -  Masa kampanye Pemilu 2024 sedang berjalan. Dari hari ke hari, partai politik terus mempromosikan diri serta visi misinya dengan berbagai cara untuk berlomba-lomba menggaet perhatian dan suara dari rakyat. Menjelang hari pemilihan, tidak sedikit dari mereka terus memasang atribut atau alat peraga kampanye di sepanjang jalan.;https://pemilu.tempo.co/read/1823542/polemik-semerawut-spanduk-dan-baliho-kampanye-pemilu-2024-masyarakat-terganggu-bisa-lapor-di-nomor-ini
Debat Cawapres Kedua Bertema Masyakarat Adat, Siapa yang Dimaksud Masyarakat Adat?;Minggu, 21 Januari 2024;Michelle Gabriela Momole;TEMPO.CO, Jakarta - Istilah Masyarakat Adat sesungguhnya bukanlah hal yang asing bagi kita. Dikutip dari situs resmi Aliansi Masyarakat Adat Nusantara (AMAN), Indonesia adalah negara dengan populasi Masyarakat Adat yang tinggi dengan perkiraan mencapai sekitar 40–70 juta jiwa.;https://pemilu.tempo.co/read/1824017/debat-cawapres-kedua-bertema-masyakarat-adat-siapa-yang-dimaksud-masyarakat-adat
Lima Komisioner KPU Kepulauan Aru Tersangka Korupsi, Bawaslu: Pemilu Bisa Terganggu;Minggu, 21 Januari 2024;Ikhsan Reliubun;TEMPO.CO, Jakarta -  Ketua Badan Pengawas Pemilihan Umum (Bawaslu) Rahmat Bagja merespons kemungkinan gangguan kelancaran pemilihan umum di Kabupaten Kepulauan Aru, Maluku, setelah lima komisioner KPU ditangkap atas dugaan korupsi.;https://pemilu.tempo.co/read/1823929/lima-komisioner-kpu-kepulauan-aru-tersangka-korupsi-bawaslu-pemilu-bisa-terganggu
H-22 Pilpres 2024: Begini Cara Mengetahui Tempat Pencoblosan Sesuai DPT;Minggu, 21 Januari 2024;Eiben Heizar;TEMPO.CO, Jakarta - Pemilihan Umum 2024 dijadwalkan berlangsung pada bulan Februari depan, tepatnya Pilpres 2024 dan Pileg.;https://pemilu.tempo.co/read/1823867/h-22-pilpres-2024-begini-cara-mengetahui-tempat-pencoblosan-sesuai-dpt
Dua Hari Berturut-turut Prabowo Singgung Nilai Rendah dari Anies;Minggu, 21 Januari 2024;Amelia Rahima Sari;TEMPO.CO, Jakarta - Calon presiden (capres) nomor urut dua Prabowo Subianto selama dua hari berturut-turut menyinggung nilai rendah yang diberikan oleh capres nomor urut satu Anies Baswedan. Nilai rendah ini diberikan Anies saat Debat Capres pada Ahad lalu, 7 Januari 2024.;https://pemilu.tempo.co/read/1823868/dua-hari-berturut-turut-prabowo-singgung-nilai-rendah-dari-anies
Hasto PDIP Bilang Begini soal Sam Bimbo Dukung Ganjar-Mahfud;Senin, 22 Januari 2024;Adil Al Hasan;TEMPO.CO, Jakarta - Sekretaris Jenderal Partai Demokrasi Indonesia Perjuangan (PDIP) Hasto Kristiyanto buka suara terkait kehadiran personel band religi Sam Bimbo dalam kampanye akbar perdana pasangan capres-cawapres nomor urut 3 Ganjar Pranowo-Mahfud Md di Bandung, Jawa Barat, 21 Januari 2024.;https://pemilu.tempo.co/read/1824396/hasto-pdip-bilang-begini-soal-sam-bimbo-dukung-ganjar-mahfud
Sederet Fakta Prabowo-Gibran Temui Sultan HB X di Yogyakarta;Senin, 22 Januari 2024;Pribadi Wicaksono (Kontributor);TEMPO.CO, Yogyakarta - Pasangan calon presiden dan wakil presiden (capres-cawapres) nomor urut 2 Prabowo Subianto dan Gibran Rakabuming Raka menemui Gubernur Daerah Istimewa Yogyakarta Sri Sultan Hamengku Buwono X, pada hari ini, Senin, 22 Januari 2024 di Komplek Kantor Gubernur Kepatihan Yogyakarta.;https://pemilu.tempo.co/read/1824368/sederet-fakta-prabowo-gibran-temui-sultan-hb-x-di-yogyakarta
Dijanjikan Videotron Usai Debat, Cak Imin Hari Ini Pukul Kentongan Bersama Ibu-ibu Majelis Taklim di Depok;Senin, 22 Januari 2024;Ricky Juliansyah;TEMPO.CO, Jakarta - Setelah Ahad malam tampil di debat calon wakil presiden, Senin hari ini, Muhaimin Iskandar atau Cak Imin berkunjung ke Depok untuk mengikuti acara istigosah, salawatan dan zikir bersama ibu-ibu majelis taklim.;https://pemilu.tempo.co/read/1824296/dijanjikan-videotron-usai-debat-cak-imin-hari-ini-pukul-kentongan-bersama-ibu-ibu-majelis-taklim-di-depok
Peluk dan Puji Cak Imin Usai Debat, Anies: Satu Bangga, Dua Bangga, Tiga Bangga;Senin, 22 Januari 2024;Antara;TEMPO.CO, Jakarta - Calon presiden (capres) nomor urut satu Anies Baswedan memeluk erat calon wakil presiden (cawapres) Muhaimin Iskandar alias Cak Imin dua kali usai debat cawapres kedua di JCC Senayan, Jakarta Pusat, Ahad, 21 Januari 2024.;https://pemilu.tempo.co/read/1824225/peluk-dan-puji-cak-imin-usai-debat-anies-satu-bangga-dua-bangga-tiga-bangga
Prabowo Puji Gibran Usai Debat: Saya Sangat Bangga;Senin, 22 Januari 2024;Antara;TEMPO, CO, Jakarta - Calon presiden (capres) nomor urut 2 Prabowo Subianto memuji performa pasangan calon wakil presiden (cawapres) Gibran Rakabuming Raka dalam debat keempat Pemilihan Presiden (Pilpres) 2024 di JCC, Senayan, Jakarta, Ahad, 21 Januari 2024.;https://pemilu.tempo.co/read/1824207/prabowo-puji-gibran-usai-debat-saya-sangat-bangga
Sindiran Gibran ke Cak Imin: Dari Botol Plastik hingga Baca Catatan;Senin, 22 Januari 2024;Ikhsan Reliubun;TEMPO.CO, Jakarta - Calon wakil presiden atau cawapres nomor urut 2 Gibran Rakabuming Raka dua kali menyindir cawapres nomor urut 1 Muhaimin Iskandar atau Cak Imin saat debat cawapres kedua di Jakarta Convention Center atau JCC, Senayan, Jakarta Pusat, Ahad malam, 21 Januari 2024.;https://pemilu.tempo.co/read/1824194/sindiran-gibran-ke-cak-imin-dari-botol-plastik-hingga-baca-catatan
Ingin Berjuang buat Kaumnya, Difabel Di Kota Bogor Maju sebagai Caleg;Selasa, 23 Januari 2024;Mahfuzulloh Al Murtadho;TEMPO.CO, Bogor - Mensejahterakan kaum disabilitas menjadi impian Dedi Santoso. Mulai dari menyiapkan ruang interaksi, hingga membuat kursus keterampilan khusus bagi penyandang difabel. Untuk merealisasikan mimpinya, pria yang biasa berjualan kue basah di Jalan Suryakencana itu maju sebagai calon anggota legislatif untuk menduduki kursi Dewan Perwakilan Rakyat Daerah (DPRD) Kota Bogor 2024-2029.;https://pemilu.tempo.co/read/1825030/ingin-berjuang-buat-kaumnya-difabel-di-kota-bogor-maju-sebagai-caleg
PTPS Dilantik, Apa Saja Tahapan Setelahnya?;Selasa, 23 Januari 2024;Yolanda Agne;TEMPO.CO, Jakarta -  Panitia Pengawas Pemilihan Umum atau Panwaslu melaksanakan pelantikan Pengawas Tempat Pemungutan Suara (PTPS) secara serentak pada 22 Januari 2024. Melalui media sosial X Badan Pengawas Pemilu atau Bawaslu, Ketua Bawaslu, Rahmat Bagja memberikan ucapan selamat kepada PTPS terpilih yang telah dilantik. Ia juga menjelaskan, para PTPS yang telah dilantik akan menjalani bimbingan teknis (bimtek) selama beberapa hari.;https://pemilu.tempo.co/read/1824816/ptps-dilantik-apa-saja-tahapan-setelahnya
Aksi Gibran Tinggalkan Podium Saat Debat Berujung Evaluasi dari KPU dan Tim Paslon;Selasa, 23 Januari 2024;Tempo.co;TEMPO.CO, Jakarta - Aksi calon wakil presiden (cawapres) nomor urut dua Gibran Rakabuming Raka meninggalkan podium saat debat keempat Pilpres 2024 di Jakarta Convention Center (JCC) Senayan pada Ahad, 21 Januari 2024, menuai respons dari Komisi Pemilihan Umum (KPU).;https://pemilu.tempo.co/read/1824812/aksi-gibran-tinggalkan-podium-saat-debat-berujung-evaluasi-dari-kpu-dan-tim-paslon
